tick,x,y,heading,bearing,distance,forward_cmd,turn_cmd,yaw_rate,reward,seed
39,-1.1744947301233364,-4.741645471389691,-2.463226795196533,-0.8897007703781128,5.797775241501633,0.31409444864011793,0.6785656586971938,-0.6004287600517273,0.16283027662740834,20000005
40,-0.9741291723392126,-4.903695523448761,-2.407822370529175,-0.9644161462783813,6.028799580787453,0.38154983754325483,0.61337449755302,2.770219326019287,-0.24102433928582045,20000005
41,-1.17174916138824,-4.897037822097365,-2.570136070251465,-0.808734118938446,5.835019097121781,0.953852377504042,0.03071739998775086,-8.11568832397461,0.18378048366567223,20000005
42,-1.50554287146529,-4.9218003255775375,-2.6524953842163086,-0.7449591159820557,5.517351139446648,0.7577430289149459,0.23446226218158606,-4.117956638336182,0.3076679576751331,20000005
43,-1.7069310207424893,-5.08989713662005,-2.650350570678711,-0.7868945598602295,5.36931091410325,0.3579150438622579,0.6372435691502925,0.10724137723445892,0.1380402253433981,20000005
44,-1.8042128189415612,-5.166360868004179,-2.5959982872009277,-0.8603989481925964,5.29950064117932,0.6346524328689441,0.3585342075279834,2.71761417388916,0.05981027292392916,20000005
45,-2.0689211222014188,-5.420628108389974,-2.613177537918091,-0.9062844514846802,5.136741340646093,0.9712257570651821,0.02125546007364082,-0.8589708805084229,0.15275930053322706,20000005
46,-2.3070226183039355,-5.403646400636486,-2.7519524097442627,-0.7821875810623169,4.909700859952447,0.8048159664209005,0.17377628089842406,-6.938741683959961,0.21704048069364634,20000005
47,-2.3002339390849595,-5.33364371017053,-2.7908334732055664,-0.7295474410057068,4.8896569450907785,0.41514925651121964,0.5774724746290447,-1.9440525770187378,0.010043914861668455,20000005
48,-2.3439433021131784,-5.503616849790571,-2.7843146324157715,-0.771493673324585,4.914985245009352,0.6634855774917386,0.33462851956853923,0.3259507417678833,-0.03532829991857355,20000005
49,-2.3433691943798243,-5.579870147804825,-2.825523853302002,-0.7443495988845825,4.946689903881738,0.8703925865762532,0.12723320360122958,-2.060462474822998,-0.041704658872385496,20000005
50,-2.872797586234938,-5.612405581379631,-2.9416351318359375,-0.6838841438293457,4.485533927312538,0.8747153950744355,0.12409450884256473,-5.805563449859619,0.4511559765691995,20000005
51,-3.2721391927473142,-5.502498740945061,-3.039902687072754,-0.6073018312454224,4.081871405117578,0.4877889772173521,0.49622918974726365,-4.913383483886719,0.3936625221949599,20000005
52,-3.343861225447176,-5.719966276779281,-3.0076234340667725,-0.6940786838531494,4.130584601582879,0.2904007352850809,0.6909389681255034,1.6139590740203857,-0.05871319646530115,20000005
53,-3.372562528818018,-5.757366588948918,-3.0549139976501465,-0.6581624150276184,4.126405870008663,0.8552458362301354,0.12582838393376078,-2.3645286560058594,-0.005821268425784112,20000005
54,-3.8767889522906676,-5.6721603621922405,3.1148736476898193,-0.5997006893157959,3.6617390365917313,0.9073444436948246,0.08980307969308793,-5.6698760986328125,0.45466683341693215,20000005
55,-4.261839188948547,-5.556868215865322,3.057056188583374,-0.5821797251701355,3.284874501336461,0.49501302457621094,0.4914618678576655,-2.8908743858337402,0.3668645352552702,20000005
56,-4.478487059676023,-5.38600535581772,2.9978528022766113,-0.5228776931762695,3.008957266149965,0.2895679990623179,0.6879917268236432,-2.9601693153381348,0.26591723518649624,20000005
57,-4.4839949928778315,-5.354145622099808,2.871417999267578,-0.38919541239738464,2.9850070110679585,0.33603538890121276,0.6578248380059082,-6.321743011474609,0.013950255082006322,20000005
58,-4.471597985569184,-5.221046500857973,2.7160463333129883,-0.1951259821653366,2.9154489690354732,0.5430242526518583,0.454520315748987,-7.768581390380859,0.05955804203248528,20000005
59,-4.795804873293878,-5.017806547261926,2.650581121444702,-0.1388256698846817,2.5336163359547204,0.7501933900162867,0.2466923420813818,-3.2732558250427246,0.3718326330807529,20000005
